"DOI","Authors","Year","Species","Organism Group","Environment","Life Stage","In vitro/in vivo","Sex","Estimated Body Length (cm)","Estimated Maximum Ingestible Size (mm)","Experiment Type","Exposure Route","Particle Mix?","Negative Control","Reference Particle","Exposure Media","Solvent","Detergent","pH","Salinity (ppt)","Temperature (Avg)","Temperature (Min)","Temperature (Max)","Exposure Duration (days)","Recovery (Days)","Acute/Chronic","Number of Doses","Replicates","Sample Size","Dosing Frequency","Chemicals Added","Added Chemical Dose (nominal)","Added Chemical Dose (measured)","Plotted Dose Values","Unaligned Dose Values","Dose Metric","Alignment","Effect","Direction","Broad Endpoint Category","Specific Endpoint Category","Endpoint","Level of Biological Organization","Target Cell or Tissue","Effect Metric","Polymer","Shape","Density (g/cm^3)","Density, reported or estimated","Charge","Zeta Potential (mV)","Zeta Potential Media","Functional Group","Particle Length (μm)","Particle Width (μm)","Size Category","Particle Surface Area (μm^2)","Particle Volume (μm^3)","Particle Mass (mg)","Weathered or Biofouled?","Size Validated?","Polymer Validated?","Shape Validated","Particle Source","Sodium Azide Present?","Screened for Chemical Contamination?","Particle Cleaning?","Solvent Rinse","Background Contamination Monitored?","Concentration Validated?","Particle Behavior","Uptake Validated?","Uptake Validation Method","Tissue Distribution","Organisms Fed?"
"10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Daphnia magna","Crustacea","Freshwater","adult","In Vivo","Not Reported",0.5,0.34112054828127736,"Particle Only","water","No","Y","N","artificial_medium","Not Reported","Not Reported",NA,NA,20,NA,NA,21,NA,"Chronic",2,"8","1",2,"Not Reported",0,NA,0.3069041884664915,316.0362441,"Particles/mL","Volume","Yes","increase","Fitness","Mortality","Mortality","Organism","Not Reported",NA,"Polystyrene","Sphere",1.05,"reported",NA,NA,NA,"COOH",2,2,"1µm < 100µm",12.566370614359172,4.1887902047863905,4.3982297150257105e-9,"No","N","N","N","commercial","No","N","not_cleaned","none","N","N","Not Evaluated","Y","microscopy flourescent particles","gut","Yes"
"10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Daphnia magna","Crustacea","Freshwater","adult","In Vivo","Not Reported",0.5,0.34112054828127736,"Particle Only","water","No","Y","N","artificial_medium","Not Reported","Not Reported",NA,NA,20,NA,NA,21,NA,"Chronic",2,"8","1",2,"Not Reported",0,NA,2.4508176204075522,2523.742669,"Particles/mL","Volume","Yes","increase","Fitness","Mortality","Mortality","Organism","Not Reported",NA,"Polystyrene","Sphere",1.05,"reported",NA,NA,NA,"COOH",2,2,"1µm < 100µm",12.566370614359172,4.1887902047863905,4.3982297150257105e-9,"No","N","N","N","commercial","No","N","not_cleaned","none","N","N","Not Evaluated","Y","microscopy flourescent particles","gut","Yes"
"10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Daphnia magna","Crustacea","Freshwater","adult","In Vivo","Not Reported",0.5,0.34112054828127736,"Particle Only","water","No","Y","N","artificial_medium","Not Reported","Not Reported",NA,NA,20,NA,NA,21,NA,"Chronic",2,"8","1",2,"Not Reported",0,NA,0.3069041884664915,316.0362441,"Particles/mL","Volume","No","Not Reported","Fitness","Reproduction","Number of Offspring","Organism","Not Reported",NA,"Polystyrene","Sphere",1.05,"reported",NA,NA,NA,"COOH",2,2,"1µm < 100µm",12.566370614359172,4.1887902047863905,4.3982297150257105e-9,"No","N","N","N","commercial","No","N","not_cleaned","none","N","N","Not Evaluated","Y","microscopy flourescent particles","gut","Yes"
"10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Daphnia magna","Crustacea","Freshwater","adult","In Vivo","Not Reported",0.5,0.34112054828127736,"Particle Only","water","No","Y","N","artificial_medium","Not Reported","Not Reported",NA,NA,20,NA,NA,21,NA,"Chronic",2,"8","1",2,"Not Reported",0,NA,2.4508176204075522,2523.742669,"Particles/mL","Volume","No","Not Reported","Fitness","Reproduction","Number of Offspring","Organism","Not Reported",NA,"Polystyrene","Sphere",1.05,"reported",NA,NA,NA,"COOH",2,2,"1µm < 100µm",12.566370614359172,4.1887902047863905,4.3982297150257105e-9,"No","N","N","N","commercial","No","N","not_cleaned","none","N","N","Not Evaluated","Y","microscopy flourescent particles","gut","Yes"
"10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Daphnia magna","Crustacea","Freshwater","early","In Vivo","Not Reported",0.08,0.06158520009939749,"Particle Only","water","No","Y","N","artificial_medium","Not Reported","Not Reported",NA,NA,20,NA,NA,21,NA,"Chronic",2,"8","1",2,"Not Reported",0,NA,4.475335668939333,316.0362441,"Particles/mL","Volume","Yes","increase","Fitness","Mortality","Mortality","Organism","Not Reported",NA,"Polystyrene","Sphere",1.05,"reported",NA,NA,NA,"COOH",2,2,"1µm < 100µm",12.566370614359172,4.1887902047863905,4.3982297150257105e-9,"No","N","N","N","commercial","No","N","not_cleaned","none","N","N","Not Evaluated","Y","microscopy flourescent particles","gut","Yes"
"10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Daphnia magna","Crustacea","Freshwater","early","In Vivo","Not Reported",0.08,0.06158520009939749,"Particle Only","water","No","Y","N","artificial_medium","Not Reported","Not Reported",NA,NA,20,NA,NA,21,NA,"Chronic",2,"8","1",2,"Not Reported",0,NA,35.73829203661218,2523.742669,"Particles/mL","Volume","No","Not Reported","Fitness","Mortality","Mortality","Organism","Not Reported",NA,"Polystyrene","Sphere",1.05,"reported",NA,NA,NA,"COOH",2,2,"1µm < 100µm",12.566370614359172,4.1887902047863905,4.3982297150257105e-9,"No","N","N","N","commercial","No","N","not_cleaned","none","N","N","Not Evaluated","Y","microscopy flourescent particles","gut","Yes"
"10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Daphnia magna","Crustacea","Freshwater","early","In Vivo","Not Reported",0.08,0.06158520009939749,"Particle Only","water","No","Y","N","artificial_medium","Not Reported","Not Reported",NA,NA,20,NA,NA,21,NA,"Chronic",2,"8","1",2,"Not Reported",0,NA,4.475335668939333,316.0362441,"Particles/mL","Volume","No","Not Reported","Fitness","Reproduction","Number of Offspring","Organism","Not Reported",NA,"Polystyrene","Sphere",1.05,"reported",NA,NA,NA,"COOH",2,2,"1µm < 100µm",12.566370614359172,4.1887902047863905,4.3982297150257105e-9,"No","N","N","N","commercial","No","N","not_cleaned","none","N","N","Not Evaluated","Y","microscopy flourescent particles","gut","Yes"
"10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Daphnia magna","Crustacea","Freshwater","early","In Vivo","Not Reported",0.08,0.06158520009939749,"Particle Only","water","No","Y","N","artificial_medium","Not Reported","Not Reported",NA,NA,20,NA,NA,21,NA,"Chronic",2,"8","1",2,"Not Reported",0,NA,35.73829203661218,2523.742669,"Particles/mL","Volume","No","Not Reported","Fitness","Reproduction","Number of Offspring","Organism","Not Reported",NA,"Polystyrene","Sphere",1.05,"reported",NA,NA,NA,"COOH",2,2,"1µm < 100µm",12.566370614359172,4.1887902047863905,4.3982297150257105e-9,"No","N","N","N","commercial","No","N","not_cleaned","none","N","N","Not Evaluated","Y","microscopy flourescent particles","gut","Yes"
"10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Daphnia magna","Crustacea","Freshwater","early","In Vivo","Not Reported",0.08,0.06158520009939749,"Particle Only","water","No","Y","N","artificial_medium","Not Reported","Not Reported",NA,NA,20,NA,NA,21,NA,"Chronic",2,"8","1",2,"Not Reported",0,NA,4.475335668939333,316.0362441,"Particles/mL","Volume","Yes","decrease","Fitness","Growth","Length","Organism","Not Reported",NA,"Polystyrene","Sphere",1.05,"reported",NA,NA,NA,"COOH",2,2,"1µm < 100µm",12.566370614359172,4.1887902047863905,4.3982297150257105e-9,"No","N","N","N","commercial","No","N","not_cleaned","none","N","N","Not Evaluated","Y","microscopy flourescent particles","gut","Yes"
"10.7717/peerj.4601","Aljaibachi & Callaghan",2018,"Daphnia magna","Crustacea","Freshwater","early","In Vivo","Not Reported",0.08,0.06158520009939749,"Particle Only","water","No","Y","N","artificial_medium","Not Reported","Not Reported",NA,NA,20,NA,NA,21,NA,"Chronic",2,"8","1",2,"Not Reported",0,NA,35.73829203661218,2523.742669,"Particles/mL","Volume","No","Not Reported","Fitness","Growth","Length","Organism","Not Reported",NA,"Polystyrene","Sphere",1.05,"reported",NA,NA,NA,"COOH",2,2,"1µm < 100µm",12.566370614359172,4.1887902047863905,4.3982297150257105e-9,"No","N","N","N","commercial","No","N","not_cleaned","none","N","N","Not Evaluated","Y","microscopy flourescent particles","gut","Yes"
